Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,2025-08-08 00:00:00,,Liste der Besitzstände,,,,
,TARDOC 1.4c,,,,,,
,Ambulante Pauschalen 1.1c,,,,,,
,,,,,,,
,Typ,"LNr. TARDOC
Basisfallgruppe",Bezeichnung TARDOC / Basisfallgruppe,Besitzstand anmelden möglich,Begründung,Vorgängerposition TARMED 01.09.00_BR,Bezeichnung TARMED
,Pauschale,C02.30*,-,Ja,-,04.3210,"Ersatzoperation bei Fazialisparese, alloplastische Implantate in die Lider"
,Pauschale,C02.30*,-,Ja,-,04.3220,"Ersatzoperation bei Fazialisparese, Faszienzügelplastik partiell perioral"
,Pauschale,C02.30*,-,Ja,-,07.1960,"Fixation des lateralen oder medialen kanthalen Ligaments, jede Methode, erstes Ligament"
,Pauschale,C02.30*,-,Ja,-,07.1980,"Verlagerung des medialen oder lateralen kanthalen Ligaments mittels Osteotomie, erstes Ligament"
,Pauschale,C02.30*,-,Ja,-,08.0690,"Bikanalikuläre Tränenwegintubation, einseitig"
,Pauschale,C02.30*,-,Ja,-,08.0700,"Bikanalikuläre Tränenwegintubation, beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.0710,"Kanalikulonasale Tränenwegintubation, einseitig"
,Pauschale,C02.30*,-,Ja,-,08.0720,"Kanalikulonasale Tränenwegintubation, beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.0730,Mikroanastomose eines isolierten Tränenkanälchenabrisses u/o Kanalikulusexploration
,Pauschale,C02.30*,-,Ja,-,08.0740,Fistulektomie im Bereich der Tränenorgane
,Pauschale,C02.30*,-,Ja,-,08.0750,Dakryozystektomie
,Pauschale,C02.30*,-,Ja,-,08.0760,Dakryozystorhinostomie/Lakrorhinostomie/Konjunktivorhinostomie
,Pauschale,C02.30*,-,Ja,-,08.1640,"Exzision eines benignen Lidtumors, bis 5 mm, erste Läsion"
,Pauschale,C02.30*,-,Ja,-,08.1660,"Exzision eines Lidtumors, mehr als 5 mm oder maligne, ohne oder mit einfachem primärem Wundverschluss"
,Pauschale,C02.30*,-,Ja,-,08.1720,"Blepharorrhaphie (Tarsorrhaphie), einseitig"
,Pauschale,C02.30*,-,Ja,-,08.1730,"Blepharorrhaphie (Tarsorrhaphie), beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.1740,"Blepharrolyse (Tarsolyse), einseitig"
,Pauschale,C02.30*,-,Ja,-,08.1750,"Blepharrolyse (Tarsolyse), beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.1760,"Ektropiumoperation durch invertierende Nähte, erstes Lid"
,Pauschale,C02.30*,-,Ja,-,08.1780,"Ektropiumoperation durch Lidkantenverkürzung, erstes Lid"
,Pauschale,C02.30*,-,Ja,-,08.1800,"Narbenektropium-Korrektur, erstes Lid"
,Pauschale,C02.30*,-,Ja,-,08.1820,"Entropiumoperation, evertierende Nähte, erstes Lid"
,Pauschale,C02.30*,-,Ja,-,08.1840,"Entropiumoperation mit Lidkantenverkürzung, erstes Lid"
,Pauschale,C02.30*,-,Ja,-,08.1860,"Korrektur bei Eversio puncti lacrimalis oder Inversion des Tränenpünktchens mittels Unterlidretraktorverkürzung, einseitig"
,Pauschale,C02.30*,-,Ja,-,08.1870,"Korrektur bei Eversio puncti lacrimalis oder Inversion des Tränenpünktchens mittels Unterlidretraktorverkürzung, beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.1880,"Korrektur bei Eversio puncti lacrimalis, mediale Ektropiumoperation mittels Lidverkürzung, Unterlidretraktorverkürzung und Hautplastik, einseitig"
,Pauschale,C02.30*,-,Ja,-,08.1900,"Korrektur bei Eversio puncti lacrimalis, mediale Ektropiumoperation mittels Lidverkürzung, Unterlidretraktorverkürzung und Hautplastik, beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.1920,"Ptosisoperation (Fasanella-Servat), einseitig"
,Pauschale,C02.30*,-,Ja,-,08.1930,"Ptosisoperation (Fasanella-Servat), beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.1940,"Ptosisoperation durch Levatorverkürzung, jede Methode, einseitig"
,Pauschale,C02.30*,-,Ja,-,08.1960,"Ptosisoperation durch Levatorverkürzung, jede Methode, beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.1970,"Ptosisoperation, Frontalissuspensionsverfahren, jede Methode, einseitig"
,Pauschale,C02.30*,-,Ja,-,08.1980,"Ptosisoperation, Frontalissuspensionsverfahren, jede Methode, beidseitig"
,Pauschale,C02.30*,-,Ja,-,08.1990,"Blepharochalasisplastik, erstes Lid"
,Pauschale,C02.30*,-,Ja,-,08.2020,"Lidrekonstruktion, partiell, bis 2/3 Lidkantenlänge, erstes Lid"
,Pauschale,C02.30*,-,Ja,-,08.2050,"Lidrekonstruktion, total, mehr als 2/3 Lidkantenlänge, erstes Lid"
,Pauschale,C02.30*,-,Ja,-,08.2070,"Plastische operative Versorgung am Ligamentum canthi, als alleinige Leistung"
,Pauschale,C03.00*,-,Ja,-,09.1780,Einlegen eines Cochleaimplantates
,Pauschale,C03.05*,-,Ja,-,07.0610,Verschluss einer Lippenspalte
,Pauschale,C03.05*,-,Ja,-,07.0620,Verschluss bei doppelseitiger Lippenspalte
,Pauschale,C03.05*,-,Ja,-,07.0630,Verschluss einer Lippen-Kiefer-Spalte
,Pauschale,C03.05*,-,Ja,-,07.0640,Verschluss einer Lippen-Kiefer-Gaumen-Spalte
,Pauschale,C03.05*,-,Ja,-,07.0650,Verschluss des weichen Gaumens bei Lippen-Kiefer-Gaumen-Spalte
,Pauschale,C03.05*,-,Ja,-,07.0660,Verschluss des harten Gaumens bei Lippen-Kiefer-Gaumen-Spalte
,Pauschale,C03.05*,-,Ja,-,07.0670,"Nasenkorrektur bei primärer Spaltchirurgie, einseitig"
,Pauschale,C03.05*,-,Ja,-,07.0680,"Nasenkorrektur bei primärer Spaltchirurgie, beidseitig"
,Pauschale,C03.05*,-,Ja,-,07.0690,"Velopharynxplastik, jede Methode"
,Pauschale,C03.05*,-,Ja,-,07.0700,Aufbau der Pharynxhinterwand
,Pauschale,C03.05*,-,Ja,-,07.0710,"Sekundärer Verschluss des Knochens bei Gaumenspalte, erste oder zweite Sitzung"
,Pauschale,C03.05*,-,Ja,-,07.0720,Sekundäre Korrektur der Weichteile bei Gaumenspalte
,Pauschale,C03.05*,-,Ja,-,07.0730,"Zungen-Lappen bei Spaltchirurgie, erste oder zweite Sitzung"
,Pauschale,C03.05*,-,Ja,-,07.0740,Restlochverschluss oder Rückverschiebungsplastik bei sekundärer Spaltchirurgie
,Pauschale,C03.05*,-,Ja,-,07.0750,Sekundäre Korrektur einer Spalte des weichen Gaumens
,Pauschale,C03.05*,-,Ja,-,07.0760,Sekundäre Korrektur einer Kieferspalte
,Pauschale,C03.05*,-,Ja,-,07.0770,Sekundäre Korrektur einer Lippenspalte bei Lippen-Kiefer-Gaumen-Spalte
,Pauschale,C03.05*,-,Ja,-,07.0780,"Weichteilaufbau der Lippen mittels Stiel-Lappen bei Lippen-Kiefer-Gaumen-Spalte, erste oder zweite Sitzung"
,Pauschale,C03.05*,-,Ja,-,07.0790,Sekundäre Korrektur Lippenrot u/o Lippenweiss u/o Filtrum bei Lippen-Kiefer-Gaumen-Spalte
